START f=3 n=2..26 precision=512 runtime_sha256=4AD4BAD7CECE561102B84C4983BD4C50D1BC39D59DA4D1ECD3D04BC7ADA9319F root_steps=12 panels=4 angle_steps=32 max_depth=72 max_boxes=500000
CASE f=3 n=2 phase=corner boxes=57 positive=19 pruned=10 depth=8 smallest=0.30817624569557556 seconds=0.008928
CASE f=3 n=2 phase=lower boxes=12649 positive=1882 pruned=4443 depth=19 smallest=0.0020130806660465716 seconds=22.992101
CASE f=3 n=2 phase=open boxes=15743 positive=2554 pruned=5318 depth=19 smallest=0.00024999770759192934 seconds=16.134942
CASE f=3 n=3 phase=corner boxes=69 positive=21 pruned=14 depth=8 smallest=0.059208546705195104 seconds=0.015915
CASE f=3 n=3 phase=lower boxes=8459 positive=637 pruned=3593 depth=17 smallest=0.00030504252056230637 seconds=8.133122
CASE f=3 n=3 phase=open boxes=9023 positive=472 pruned=4040 depth=17 smallest=0.0006334239506294668 seconds=7.834300
CASE f=3 n=4 phase=corner boxes=91 positive=21 pruned=25 depth=8 smallest=0.0064452330960505875 seconds=0.012653
CASE f=3 n=4 phase=lower boxes=4371 positive=2 pruned=2184 depth=15 smallest=0.004302294933814235 seconds=2.750024
CASE f=3 n=4 phase=open boxes=3815 positive=0 pruned=1908 depth=15 smallest=inf seconds=2.834874
CASE f=3 n=5 phase=corner boxes=91 positive=12 pruned=34 depth=7 smallest=0.024738822902845625 seconds=0.013190
CASE f=3 n=5 phase=lower boxes=2791 positive=0 pruned=1396 depth=17 smallest=inf seconds=2.196324
CASE f=3 n=5 phase=open boxes=2403 positive=0 pruned=1202 depth=17 smallest=inf seconds=1.714247
CASE f=3 n=6 phase=corner boxes=99 positive=10 pruned=40 depth=7 smallest=0.02946517780779485 seconds=0.010549
CASE f=3 n=6 phase=lower boxes=2619 positive=0 pruned=1310 depth=23 smallest=inf seconds=1.749529
CASE f=3 n=6 phase=open boxes=2297 positive=0 pruned=1149 depth=23 smallest=inf seconds=1.480159
CASE f=3 n=7 phase=corner boxes=115 positive=11 pruned=47 depth=7 smallest=0.03884637979594033 seconds=0.016116
CASE f=3 n=7 phase=lower boxes=16793 positive=0 pruned=8397 depth=17 smallest=inf seconds=17.747429
CASE f=3 n=7 phase=open boxes=7497 positive=0 pruned=3749 depth=17 smallest=inf seconds=7.148893
CASE f=3 n=8 phase=corner boxes=125 positive=12 pruned=51 depth=8 smallest=0.020761624504602307 seconds=0.014934
CASE f=3 n=8 phase=lower boxes=15979 positive=0 pruned=7990 depth=17 smallest=inf seconds=15.993187
CASE f=3 n=8 phase=open boxes=6895 positive=0 pruned=3448 depth=17 smallest=inf seconds=6.691172
CASE f=3 n=9 phase=corner boxes=125 positive=11 pruned=52 depth=8 smallest=0.051861612537687 seconds=0.017185
CASE f=3 n=9 phase=lower boxes=16463 positive=0 pruned=8232 depth=17 smallest=inf seconds=16.813543
CASE f=3 n=9 phase=open boxes=7123 positive=0 pruned=3562 depth=17 smallest=inf seconds=6.358154
CASE f=3 n=10 phase=corner boxes=137 positive=13 pruned=56 depth=8 smallest=0.005493534674137663 seconds=0.017624
CASE f=3 n=10 phase=lower boxes=18029 positive=0 pruned=9015 depth=17 smallest=inf seconds=19.101425
CASE f=3 n=10 phase=open boxes=7459 positive=0 pruned=3730 depth=17 smallest=inf seconds=6.715892
CASE f=3 n=11 phase=corner boxes=159 positive=16 pruned=64 depth=9 smallest=0.052266616863677284 seconds=0.024140
CASE f=3 n=11 phase=lower boxes=19979 positive=0 pruned=9990 depth=17 smallest=inf seconds=20.228502
CASE f=3 n=11 phase=open boxes=7843 positive=0 pruned=3922 depth=17 smallest=inf seconds=7.264498
CASE f=3 n=12 phase=corner boxes=165 positive=16 pruned=67 depth=8 smallest=0.03507358181534865 seconds=0.026437
CASE f=3 n=12 phase=lower boxes=22345 positive=0 pruned=11173 depth=19 smallest=inf seconds=22.926415
CASE f=3 n=12 phase=open boxes=8045 positive=0 pruned=4023 depth=17 smallest=inf seconds=7.611320
CASE f=3 n=13 phase=corner boxes=177 positive=17 pruned=72 depth=9 smallest=0.04509820119212189 seconds=0.033411
CASE f=3 n=13 phase=lower boxes=24523 positive=0 pruned=12262 depth=19 smallest=inf seconds=28.200040
CASE f=3 n=13 phase=open boxes=8195 positive=0 pruned=4098 depth=19 smallest=inf seconds=11.606344
CASE f=3 n=14 phase=corner boxes=197 positive=19 pruned=80 depth=9 smallest=0.010668306177912822 seconds=0.026292
CASE f=3 n=14 phase=lower boxes=26145 positive=0 pruned=13073 depth=19 smallest=inf seconds=35.604823
CASE f=3 n=14 phase=open boxes=8783 positive=0 pruned=4392 depth=19 smallest=inf seconds=10.654596
CASE f=3 n=15 phase=corner boxes=221 positive=23 pruned=88 depth=9 smallest=0.03265702078125241 seconds=0.052702
CASE f=3 n=15 phase=lower boxes=28445 positive=0 pruned=14223 depth=19 smallest=inf seconds=41.629444
CASE f=3 n=15 phase=open boxes=9345 positive=0 pruned=4673 depth=19 smallest=inf seconds=9.696052
CASE f=3 n=16 phase=corner boxes=243 positive=24 pruned=98 depth=9 smallest=0.049706982212483014 seconds=0.034864
CASE f=3 n=16 phase=lower boxes=29871 positive=0 pruned=14936 depth=19 smallest=inf seconds=55.210446
CASE f=3 n=16 phase=open boxes=10003 positive=0 pruned=5002 depth=19 smallest=inf seconds=11.544374
CASE f=3 n=17 phase=corner boxes=257 positive=28 pruned=101 depth=9 smallest=0.01237809659057414 seconds=0.044938
CASE f=3 n=17 phase=lower boxes=31641 positive=0 pruned=15821 depth=19 smallest=inf seconds=36.042154
CASE f=3 n=17 phase=open boxes=11269 positive=0 pruned=5635 depth=19 smallest=inf seconds=12.077893
CASE f=3 n=18 phase=corner boxes=275 positive=33 pruned=105 depth=9 smallest=0.061995542939421035 seconds=0.060641
CASE f=3 n=18 phase=lower boxes=32413 positive=0 pruned=16207 depth=19 smallest=inf seconds=41.060516
CASE f=3 n=18 phase=open boxes=11897 positive=0 pruned=5949 depth=19 smallest=inf seconds=13.964107
CASE f=3 n=19 phase=corner boxes=303 positive=35 pruned=117 depth=10 smallest=0.03706760558961324 seconds=0.078773
CASE f=3 n=19 phase=lower boxes=33835 positive=0 pruned=16918 depth=19 smallest=inf seconds=47.487673
CASE f=3 n=19 phase=open boxes=12729 positive=0 pruned=6365 depth=19 smallest=inf seconds=13.129909
CASE f=3 n=20 phase=corner boxes=349 positive=33 pruned=142 depth=10 smallest=0.006467874191084192 seconds=0.051771
CASE f=3 n=20 phase=lower boxes=36243 positive=0 pruned=18122 depth=19 smallest=inf seconds=38.821563
