START f=3 n=241..379 precision=512 runtime_sha256=4AD4BAD7CECE561102B84C4983BD4C50D1BC39D59DA4D1ECD3D04BC7ADA9319F root_steps=12 panels=4 angle_steps=32 max_depth=72 max_boxes=500000
CASE f=3 n=241 phase=corner boxes=141 positive=0 pruned=71 depth=8 smallest=inf seconds=0.006020
CASE f=3 n=241 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.950462
CASE f=3 n=241 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.329314
CASE f=3 n=242 phase=corner boxes=139 positive=0 pruned=70 depth=8 smallest=inf seconds=0.004094
CASE f=3 n=242 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.844214
CASE f=3 n=242 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.294930
CASE f=3 n=243 phase=corner boxes=137 positive=0 pruned=69 depth=8 smallest=inf seconds=0.004271
CASE f=3 n=243 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.885493
CASE f=3 n=243 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.281197
CASE f=3 n=244 phase=corner boxes=135 positive=0 pruned=68 depth=7 smallest=inf seconds=0.004084
CASE f=3 n=244 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=1.459334
CASE f=3 n=244 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.745882
CASE f=3 n=245 phase=corner boxes=135 positive=0 pruned=68 depth=7 smallest=inf seconds=0.010877
CASE f=3 n=245 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=2.550555
CASE f=3 n=245 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.652418
CASE f=3 n=246 phase=corner boxes=135 positive=0 pruned=68 depth=7 smallest=inf seconds=0.007610
CASE f=3 n=246 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=2.130935
CASE f=3 n=246 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.635704
CASE f=3 n=247 phase=corner boxes=133 positive=0 pruned=67 depth=7 smallest=inf seconds=0.006811
CASE f=3 n=247 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=2.024307
CASE f=3 n=247 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.754202
CASE f=3 n=248 phase=corner boxes=133 positive=0 pruned=67 depth=7 smallest=inf seconds=0.010272
CASE f=3 n=248 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=2.294079
CASE f=3 n=248 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.734424
CASE f=3 n=249 phase=corner boxes=133 positive=0 pruned=67 depth=7 smallest=inf seconds=0.009694
CASE f=3 n=249 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=2.439249
CASE f=3 n=249 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.842560
CASE f=3 n=250 phase=corner boxes=131 positive=0 pruned=66 depth=7 smallest=inf seconds=0.009093
CASE f=3 n=250 phase=lower boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=2.333009
CASE f=3 n=250 phase=open boxes=895 positive=0 pruned=448 depth=10 smallest=inf seconds=0.321587
CASE f=3 n=251 phase=corner boxes=131 positive=0 pruned=66 depth=7 smallest=inf seconds=0.003348
CASE f=3 n=251 phase=lower boxes=755 positive=0 pruned=378 depth=10 smallest=inf seconds=0.857784
CASE f=3 n=251 phase=open boxes=755 positive=0 pruned=378 depth=10 smallest=inf seconds=0.265304
CASE f=3 n=252 phase=corner boxes=129 positive=0 pruned=65 depth=7 smallest=inf seconds=0.003291
