START f=3 n=102..240 precision=512 runtime_sha256=4AD4BAD7CECE561102B84C4983BD4C50D1BC39D59DA4D1ECD3D04BC7ADA9319F root_steps=12 panels=4 angle_steps=32 max_depth=72 max_boxes=500000
CASE f=3 n=102 phase=corner boxes=565 positive=0 pruned=283 depth=11 smallest=inf seconds=0.106594
CASE f=3 n=102 phase=lower boxes=5101 positive=0 pruned=2551 depth=14 smallest=inf seconds=8.397813
CASE f=3 n=102 phase=open boxes=5101 positive=0 pruned=2551 depth=14 smallest=inf seconds=3.694172
CASE f=3 n=103 phase=corner boxes=561 positive=0 pruned=281 depth=11 smallest=inf seconds=0.187163
CASE f=3 n=103 phase=lower boxes=5047 positive=0 pruned=2524 depth=14 smallest=inf seconds=12.245065
CASE f=3 n=103 phase=open boxes=5047 positive=0 pruned=2524 depth=14 smallest=inf seconds=1.665948
CASE f=3 n=104 phase=corner boxes=557 positive=0 pruned=279 depth=11 smallest=inf seconds=0.078742
CASE f=3 n=104 phase=lower boxes=5033 positive=0 pruned=2517 depth=14 smallest=inf seconds=6.089959
CASE f=3 n=104 phase=open boxes=5033 positive=0 pruned=2517 depth=14 smallest=inf seconds=1.532351
CASE f=3 n=105 phase=corner boxes=553 positive=0 pruned=277 depth=11 smallest=inf seconds=0.071692
CASE f=3 n=105 phase=lower boxes=5017 positive=0 pruned=2509 depth=14 smallest=inf seconds=6.172541
CASE f=3 n=105 phase=open boxes=5017 positive=0 pruned=2509 depth=14 smallest=inf seconds=1.759697
CASE f=3 n=106 phase=corner boxes=547 positive=0 pruned=274 depth=11 smallest=inf seconds=0.094230
CASE f=3 n=106 phase=lower boxes=4999 positive=0 pruned=2500 depth=14 smallest=inf seconds=6.199318
CASE f=3 n=106 phase=open boxes=4999 positive=0 pruned=2500 depth=14 smallest=inf seconds=1.816988
CASE f=3 n=107 phase=corner boxes=543 positive=0 pruned=272 depth=11 smallest=inf seconds=0.107940
CASE f=3 n=107 phase=lower boxes=4985 positive=0 pruned=2493 depth=14 smallest=inf seconds=5.290428
CASE f=3 n=107 phase=open boxes=4985 positive=0 pruned=2493 depth=14 smallest=inf seconds=1.368135
CASE f=3 n=108 phase=corner boxes=537 positive=0 pruned=269 depth=11 smallest=inf seconds=0.059639
CASE f=3 n=108 phase=lower boxes=4443 positive=0 pruned=2222 depth=14 smallest=inf seconds=4.539676
CASE f=3 n=108 phase=open boxes=4443 positive=0 pruned=2222 depth=14 smallest=inf seconds=1.320372
CASE f=3 n=109 phase=corner boxes=533 positive=0 pruned=267 depth=11 smallest=inf seconds=0.068883
CASE f=3 n=109 phase=lower boxes=4005 positive=0 pruned=2003 depth=14 smallest=inf seconds=3.921201
CASE f=3 n=109 phase=open boxes=4005 positive=0 pruned=2003 depth=14 smallest=inf seconds=1.053292
CASE f=3 n=110 phase=corner boxes=529 positive=0 pruned=265 depth=11 smallest=inf seconds=0.066538
CASE f=3 n=110 phase=lower boxes=3855 positive=0 pruned=1928 depth=14 smallest=inf seconds=3.578968
CASE f=3 n=110 phase=open boxes=3855 positive=0 pruned=1928 depth=14 smallest=inf seconds=0.967932
CASE f=3 n=111 phase=corner boxes=523 positive=0 pruned=262 depth=11 smallest=inf seconds=0.068333
CASE f=3 n=111 phase=lower boxes=3775 positive=0 pruned=1888 depth=14 smallest=inf seconds=3.746839
